2015-04-23T16:27:37-04:00: Budget Work Session of the City Council
2018-02-28T16:30:22+00:00: City Coucil Roundtable with Staff on Council Priorities - Wednesday, February 28, 2018 - Part I
2018-02-28T17:02:33+00:00: City Coucil Roundtable with Staff on Council Priorities - Wednesday, February 28, 2018 - Part II
2018-01-29T16:30:21+00:00: Public Hearing Regarding Streets Potentially Named for Civil War Generals
2015-04-27T15:57:21-04:00: Public Hearing, Regular Meeting and Budget Work Session of the City Council
2015-05-06T22:00:11-04:00: Re-encoding April 15, 2015 Budget Session
2015-03-09T16:30:37-04:00: Regular Meeting and Work Session of the City Council
2015-10-29T16:25:35-04:00: Regular Meeting and Work Session of the City Council
2015-11-30T16:30:14-05:00: Regular Meeting and Work Session of the City Council
2015-12-14T16:30:03-05:00: Regular Meeting, Work Session and Closed Session of the City Council
2013-11-06T16:25:05-05:00: Special City Council Meeting - Wednesday, November 6, 2013 
2015-12-07T16:28:20-05:00: Special Session and Work Session of the City Council
2006-09-28T08:57:28-04:00: Takoma Metro Hearing 9/25/06
2013-10-23T16:15:19-04:00: Takoma Voice Election Forum (City Election 11-5-2013)
2015-09-30T20:26:48-04:00: Tuesday, September 29, 2015 - Takoma Park Nominating Caucus
2015-11-23T16:26:56-05:00: Work Session of the City Council
2009-06-08T16:39:19-04:00: Young Activists Club Resolution - June 8, 2009
